doi,year,genre,is_oa,title,doi_url,updated,publisher,z_authors,journal_name
10.1001/2012.jama.10931,2012,journal-article,False,Atherogenic Vascular Stiffness and Hypertension,https://doi.org/10.1001/2012.jama.10931,2018-06-19T10:05:43.310645,American Medical Association (AMA),"[{'given': 'Debabrata', 'family': 'Mukherjee'}]",JAMA
10.1001/archderm.137.12.1645,2001,journal-article,False,Comparing the Diagnostic Accuracy of Dermatologists and Nondermatologists,https://doi.org/10.1001/archderm.137.12.1645,2018-06-14T16:29:49.556962,American Medical Association (AMA),"[{'given': 'Steven R.', 'family': 'Feldman'}, {'given': 'Michael L.', 'family': 'Coates'}, {'given': 'Alan B.', 'family': 'Fleischer, Jr'}, {'given': 'Beverly G.', 'family': 'Mellen'}, {'given': 'Phillip M.', 'family': 'Williford'}]",Archives of Dermatology
10.1001/archderm.139.6.801,2003,journal-article,False,Commentary on: Local treatments for cutaneous warts: systematic review,https://doi.org/10.1001/archderm.139.6.801,2018-06-19T10:06:41.587179,American Medical Association (AMA),"[{'given': 'Michael', 'family': 'Bigby'}]",Archives of Dermatology
10.1001/archderm.1981.01650030016009,1981,journal-article,False,Thrombotic Angiokeratoma Circumscriptum Simulating Melanoma,https://doi.org/10.1001/archderm.1981.01650030016009,2018-06-15T04:34:31.733156,American Medical Association (AMA),"[{'given': 'Leon', 'family': 'Goldman'}]",Archives of Dermatology
10.1001/archinte.146.12.2393,1986,journal-article,False,Drug prescribing for the elderly,https://doi.org/10.1001/archinte.146.12.2393,2018-06-19T10:05:43.317410,American Medical Association (AMA),"[{'given': 'D. E.', 'family': 'Everitt'}]",Archives of Internal Medicine
10.1001/archinte.1928.00130170089009,1928,journal-article,False,COARCTATION OF THE AORTA,https://doi.org/10.1001/archinte.1928.00130170089009,2018-06-19T09:18:10.887464,American Medical Association (AMA),"[{'given': 'L. MINOR', 'family': 'BLACKFORD'}]",Archives of Internal Medicine
10.1001/archinte.1986.00360170247030,1986,journal-article,False,Multiple Myeloma With Polyneuropathy and Coagulopathy,https://doi.org/10.1001/archinte.1986.00360170247030,2018-06-19T10:05:56.505504,American Medical Association (AMA),"[{'given': 'Bradley T.', 'family': 'Hyman'}]",Archives of Internal Medicine
10.1001/archneur.1989.00520400122032,1989,journal-article,False,Relapsing Bilateral Brachial Plexopathy During Pregnancy,https://doi.org/10.1001/archneur.1989.00520400122032,2018-06-19T10:06:51.523818,American Medical Association (AMA),"[{'given': 'Janice M. T.', 'family': 'Redmond'}]",Archives of Neurology
10.1001/archneur.1996.00550100033012,1996,journal-article,False,Cavernous Sinus Syndrome,https://doi.org/10.1001/archneur.1996.00550100033012,2018-06-19T10:06:41.597315,American Medical Association (AMA),"[{'given': 'James R.', 'family': 'Keane'}]",Archives of Neurology
10.1001/archneur.59.4.557,2002,journal-article,True,Occlusion Due to Carotid Artery Dissection,https://doi.org/10.1001/archneur.59.4.557,2018-09-10T14:50:09.005506,American Medical Association (AMA),"[{'given': 'Didier', 'family': 'Milhaud'}, {'given': 'Gabriel R.', 'family': 'de Freitas'}, {'given': 'Guy', 'family': 'van Melle'}, {'given': 'Julien', 'family': 'Bogousslavsky'}]",Archives of Neurology
10.1001/archneurpsyc.1958.02340100018004,1958,journal-article,False,Cinephotomicrography of the Pial Circulation,https://doi.org/10.1001/archneurpsyc.1958.02340100018004,2018-06-19T10:05:23.903674,American Medical Association (AMA),"[{'given': 'E. S.', 'family': 'GURDJIAN'}]",A.M.A. Archives of Neurology & Psychiatry
10.1001/archopht.119.8.1201,2001,journal-article,False,A look at the past . . .,https://doi.org/10.1001/archopht.119.8.1201,2018-06-19T10:04:39.572701,American Medical Association (AMA),,Archives of Ophthalmology
10.1001/archopht.123.2.214,2005,journal-article,True,An Antisense Oligodeoxynucleotide Against Vascular Endothelial Growth Factor in a Nonhuman Primate Model of Iris Neovascularization,https://doi.org/10.1001/archopht.123.2.214,2018-06-21T15:36:52.068940,American Medical Association (AMA),"[{'given': 'Robert B.', 'family': 'Bhisitkul'}]",Archives of Ophthalmology
10.1001/archopht.1940.00870050149014,1940,journal-article,False,SOME OBSERVATIONS ON CROSSED CYLINDERS,https://doi.org/10.1001/archopht.1940.00870050149014,2018-06-19T10:04:45.304133,American Medical Association (AMA),"[{'given': 'F. P.', 'family': 'Smart'}]",Archives of Ophthalmology
10.1001/archopht.1967.00980020452007,1967,journal-article,False,Strabismus in Congenital Rubella,https://doi.org/10.1001/archopht.1967.00980020452007,2018-06-20T13:56:38.108531,American Medical Association (AMA),"[{'given': 'John F.', 'family': ""O'Neill""}]",Archives of Ophthalmology
10.1001/archopht.1982.01030030169030,1982,journal-article,False,The Cornea in Measles,https://doi.org/10.1001/archopht.1982.01030030169030,2018-06-16T01:35:17.466459,American Medical Association (AMA),"[{'given': 'F. C.', 'family': 'Blodi'}]",Archives of Ophthalmology
10.1001/archotol.125.11.1262,1999,journal-article,False,Sinogenic Subdural Empyema and Streptococcus anginosus,https://doi.org/10.1001/archotol.125.11.1262,2018-06-20T13:57:14.603887,American Medical Association (AMA),"[{'given': 'Mark E.', 'family': 'Hutchin'}, {'given': 'Carol G.', 'family': 'Shores'}, {'given': 'Maureen S.', 'family': 'Bauer'}, {'given': 'Wendell G.', 'family': 'Yarbrough'}]",Archives of Otolaryngology–Head & Neck Surgery
10.1001/archotol.129.12.1263,2003,journal-article,False,"Pointe Vicente Lighthouse, Palos Verdes Peninsula, California",https://doi.org/10.1001/archotol.129.12.1263,2018-06-16T18:53:06.593132,American Medical Association (AMA),,Archives of Otolaryngology–Head & Neck Surgery
10.1001/archotol.1940.00660021084009,1940,journal-article,False,ANGIOENDOTHELIOMA OF THE NASOPHARYNX,https://doi.org/10.1001/archotol.1940.00660021084009,2018-06-14T08:53:43.136353,American Medical Association (AMA),"[{'given': 'W. D.', 'family': 'FARMER'}]",Archives of Otolaryngology - Head and Neck Surgery
10.1001/archotol.1956.03830080028007,1956,journal-article,False,Intracranial Complications of Chronic Mastoiditis,https://doi.org/10.1001/archotol.1956.03830080028007,2018-06-19T10:05:56.322736,American Medical Association (AMA),"[{'given': 'H. R.', 'family': 'MORSE'}]",Archives of Otolaryngology - Head and Neck Surgery
10.1001/archotol.1992.01880070101020,1992,journal-article,False,Casual Surgical Techniques in January 1992 Photograph,https://doi.org/10.1001/archotol.1992.01880070101020,2018-06-16T04:46:58.398809,American Medical Association (AMA),"[{'given': 'D. A.', 'family': 'HILDING'}]",Archives of Otolaryngology - Head and Neck Surgery
10.1001/archotol.1992.01880080075016,1992,journal-article,False,Mycosis Fungoides of the Larynx: Report of Two Cases and Review of the Literature,https://doi.org/10.1001/archotol.1992.01880080075016,2018-06-20T22:53:44.950199,American Medical Association (AMA),"[{'given': 'J. J.', 'family': 'Kuhn'}, {'given': 'B. M.', 'family': 'Wenig'}, {'given': 'D. A.', 'family': 'Clark'}]",Archives of Otolaryngology - Head and Neck Surgery
10.1001/archpedi.1962.02080020242007,1962,journal-article,False,Measles in Nigeria,https://doi.org/10.1001/archpedi.1962.02080020242007,2018-06-20T13:57:11.584058,American Medical Association (AMA),"[{'given': 'D. C.', 'family': 'MORLEY'}]",Archives of Pediatrics & Adolescent Medicine
10.1001/archsurg.141.11.1109,2006,journal-article,True,Implementing 1-Dose Antibiotic Prophylaxis for Prevention of Surgical Site Infection,https://doi.org/10.1001/archsurg.141.11.1109,2018-06-20T13:56:51.520565,American Medical Association (AMA),"[{'given': 'Silvia Nunes Szente', 'family': 'Fonseca'}]",Archives of Surgery
10.1001/jama.1892.02420140019001h,1892,journal-article,False,REPORT OF THE COMMITTEE ON IMPROVEMENT IN THE WORK OF THE SECTION.,https://doi.org/10.1001/jama.1892.02420140019001h,2018-06-17T06:43:12.626093,American Medical Association (AMA),,Journal of the American Medical Association
10.1001/jama.1904.02490680037010,1904,journal-article,False,ANGINA PECTORIS AND ABDOMINIS.,https://doi.org/10.1001/jama.1904.02490680037010,2018-06-19T10:04:39.576591,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1906.25210130010001d,1906,journal-article,False,A PLEA FOR MORE RADICAL OPERATIONS IN CANCER OF THE LIPS AND TONGUE.,https://doi.org/10.1001/jama.1906.25210130010001d,2018-06-22T21:41:28.434261,American Medical Association (AMA),"[{'given': 'D. N.', 'family': 'EISENDRATH'}]",JAMA: The Journal of the American Medical Association
10.1001/jama.1912.04270130039024,1912,journal-article,True,Common Disorders and Diseases of Childhood.,https://doi.org/10.1001/jama.1912.04270130039024,2018-06-16T04:09:46.705491,American Medical Association (AMA),,Journal of the American Medical Association
10.1001/jama.1916.02590180044022,1916,journal-article,False,"CREATIN, CREATININ AND MUSCLE TISSUE",https://doi.org/10.1001/jama.1916.02590180044022,2018-06-18T23:43:50.605459,American Medical Association (AMA),,Journal of the American Medical Association
10.1001/jama.1919.02610300003002,1919,journal-article,False,THE TREATMENT OF GAS BACILLUS INFECTION,https://doi.org/10.1001/jama.1919.02610300003002,2018-06-16T19:16:49.117583,American Medical Association (AMA),"[{'given': 'FREDERICK T.', 'family': 'VAN BEUREN'}]",Journal of the American Medical Association
10.1001/jama.1921.02630490059033,1921,journal-article,False,"""THE PIRQUET SYSTEM OF NUTRITION AND ITS APPLICABILITY TO AMERICAN CONDITIONS""",https://doi.org/10.1001/jama.1921.02630490059033,2018-06-20T21:03:39.784894,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1925.02660410029014,1925,journal-article,False,THE PITUITARY GLAND,https://doi.org/10.1001/jama.1925.02660410029014,2018-06-16T20:46:58.368405,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1925.02670060064042,1925,journal-article,False,"Allen's Commercial Organic Analysis. A Treatise on the Properties, Modes of Analysis, and Proximate Analytical Examination of the Various Organic Chemicals and Products Employed in the Arts, Manufactures, Medicine, Etc. With Concise Methods for the Detection and Estimation of Their Impurities, Adulterations, and Products of Decomposition. Volume III. Hydrocarbons, Bitumens, Naphthalene and Its Derivatives, Anthracene and Its Associates, Phenols, Aromatic Acids, Gallic Acid and Its Allies, Phthalic Acid and the Phthaleins, Modern Explosives.",https://doi.org/10.1001/jama.1925.02670060064042,2018-06-16T14:05:23.979317,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1936.02770450001001,1936,journal-article,False,TUBERCULOSIS OF THE HIP IN CHILDREN,https://doi.org/10.1001/jama.1936.02770450001001,2018-06-20T13:56:51.648959,American Medical Association (AMA),"[{'given': 'JOSEPH S.', 'family': 'BARR'}]",Journal of the American Medical Association
10.1001/jama.1939.02800440069048,1939,journal-article,True,Current Medical Literature,https://doi.org/10.1001/jama.1939.02800440069048,2018-06-19T13:15:12.659353,American Medical Association (AMA),,Journal of the American Medical Association
10.1001/jama.1941.02820410082042,1941,journal-article,False,"Papers of Wade Hampton Frost, M.D.: A Contribution to Epidemiological Method",https://doi.org/10.1001/jama.1941.02820410082042,2018-06-18T23:23:27.880566,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1943.72840280004019a,1943,journal-article,False,AUSTRALIA,https://doi.org/10.1001/jama.1943.72840280004019a,2018-07-19T14:54:19.354397,American Medical Association (AMA),,Journal of the American Medical Association
10.1001/jama.1944.02850350046022,1944,journal-article,False,Bureau of Investigation,https://doi.org/10.1001/jama.1944.02850350046022,2018-06-14T17:41:07.890606,American Medical Association (AMA),,Journal of the American Medical Association
10.1001/jama.1952.03680020073010,1952,journal-article,False,FIFTY-SECOND ANNUAL REPORT ON MEDICAL EDUCATION,https://doi.org/10.1001/jama.1952.03680020073010,2018-07-16T11:48:35.349322,American Medical Association (AMA),,Journal of the American Medical Association
10.1001/jama.1953.02940200056014d,1953,journal-article,False,MEXICO,https://doi.org/10.1001/jama.1953.02940200056014d,2018-06-21T15:47:30.840878,American Medical Association (AMA),,JAMA: The Journal of the American Medical Association
10.1001/jama.1962.03050500103042,1962,journal-article,False,MAGAZINE AND TELEVISION REPORT,https://doi.org/10.1001/jama.1962.03050500103042,2018-06-19T10:04:30.484276,American Medical Association (AMA),,JAMA
